isbn13,Qty,Title,Cost,Total price,date,wholesaler
9780750938297,25,Longest Journey - Sussex's Championship Triumph,0.25,6.25,23/11/2020,A
9780276444012,35,Looking Back At Britain - 1970s: Flower Power To Union Power,0.25,8.75,23/11/2020,A
9780701173340,5,Memoirs of a Pet Lamb,0.25,1.25,23/11/2020,A
9781905411443,25,Motherwell F.C.Miscellany,0.25,6.25,23/11/2020,A
9781907637575,5,Moz: My Story  (Leeds/Warrington/Bradford),0.25,1.25,23/11/2020,A
9780224100021,5,"Night Games: Sex, Power & A Journey Into The Dark Heart Of Sport",0.25,1.25,23/11/2020,A
9781849543750,10,Odd Couple: The Curious Friendship Between Kingsley Amis & Philip Larkin,0.25,2.5,23/11/2020,A
9781787130326,10,Of Cats & Men: Profiles of History's Great Cat-Loving Arrtists etc.,0.25,2.5,23/11/2020,A
9781445638614,25,Oldham Athletic: A Pictorial History,0.25,6.25,23/11/2020,A
9781785310799,10,Penalty King  (Rangers),0.25,2.5,23/11/2020,A
9781840464184,25,Pendulum Years,0.25,6.25,23/11/2020,A
9780753512104,25,Peter Alliss' Golf Heroes,0.25,6.25,23/11/2020,A
9781849548144,25,Pitch Black: The Story of Black British Footballers,0.25,6.25,23/11/2020,A
9781848502406,25,Positive Drinking,0.25,6.25,23/11/2020,A
9781408105870,75,Practical Textiles Techniques,0.25,18.75,23/11/2020,A
9780091941833,10,Princess Matilda Comes Home,0.25,2.5,23/11/2020,A
9781848890343,25,Privilege & Poverty - Alexander Williams 1846-1930,0.25,6.25,23/11/2020,A
9781504800129,25,Professional Results: Soft Furnishings,0.25,6.25,23/11/2020,A
9781849161732,25,Prometheans,0.25,6.25,23/11/2020,A
9781909626362,50,Punk Football: The Rise of Fan Ownership In English Football,0.25,12.5,23/11/2020,A
9781785312120,5,Real Roy Of The Rovers Stuff,0.25,1.25,23/11/2020,A
9781905367597,5,Recognise Yourself: Beauty Despite Cancer,0.25,1.25,23/11/2020,A
9780571251674,5,Red Tory,0.25,1.25,23/11/2020,A
9781848502567,5,Right Time Baby,0.25,1.25,23/11/2020,A
9781907637513,5,Riis - Stages Of Light & Dark,0.25,1.25,23/11/2020,A
9780857331786,5,Rivals: Newcastle United Vs Sunderland (Classic Tyne & Wear Derby Games),0.25,1.25,23/11/2020,A
9780713664102,50,Robert Stewart: Design 1946-95,0.25,12.5,23/11/2020,A
9781631590603,50,Rubber Band Glam,0.25,12.5,23/11/2020,A
9781906509293,25,Sarah Raphael,0.25,6.25,23/11/2020,A
9780810996151,50,Saxophone Colossus: A Portrait of Sonny Rollins,0.25,12.5,23/11/2020,A
9781781801789,35,Secret Female Hormone: How Testosterone Replacement Can Change Your Life,0.25,8.75,23/11/2020,A
9781848500181,5,Secret Pleasures Of Menopause  (uk & europe only),0.25,1.25,23/11/2020,A
9781785310119,35,Sex & Drugs & Rebel Tours: The England Cricket Team in the 80s,0.25,8.75,23/11/2020,A
9780752449845,5,Soldiers Of The Queen,0.25,1.25,23/11/2020,A
9781782436638,5,Star Trek: Redshirt's Little Book Of Doom,0.25,1.25,23/11/2020,A
9781408131343,10,Stitching Pictures,0.25,2.5,23/11/2020,A
9781909471535,50,Strictly Classified: Insights Into The Trainer's Mind,0.25,12.5,23/11/2020,A
9781787132535,10,First Knits: 20 Irresistible Knits For Babies,3,30,09/12/2020,A
9781785658631,30,Vengeful,1.5,45,09/12/2020,A
9781683690863,10,We Sould Our Souls,1.5,15,09/12/2020,A
9780091926960,10,3 Commando Brigade,0.25,2.5,17/12/2020,A
9780091778378,10,35MM Handbook,0.25,2.5,17/12/2020,A
9780571250592,10,Afterglow Of Creation,0.25,2.5,17/12/2020,A
9781842433201,10,Asian Horror,0.25,2.5,17/12/2020,A
9780752457055,10,Bats In The Larder - Memories of a 1970s Childhood By The Sea,0.25,2.5,17/12/2020,A
9780091885786,10,Clubland Confidential,0.25,2.5,17/12/2020,A
9780745332031,10,Complacency & Collusion: A Critical Introduction to Business & Financial,0.25,2.5,17/12/2020,A
9781905745166,10,Confessions of a Showman,0.25,2.5,17/12/2020,A
9780708320310,16,Cornwall - A Concise History,0.25,4,17/12/2020,A
9781452101415,10,Craft Inc.,0.25,2.5,17/12/2020,A
9780007183166,10,Democracy Needs Aristocracy,0.25,2.5,17/12/2020,A
9780571243037,6,Different Drummer - The Life of Kenneth MacMillan,0.25,1.5,17/12/2020,A
9780571226252,10,Digital Film-Making,0.25,2.5,17/12/2020,A
9780099569329,10,Don't Let The Bastards Grind You Down,0.25,2.5,17/12/2020,A
9780552778008,10,Don't Sweat The Aubergine,0.25,2.5,17/12/2020,A
9780760351840,10,EAA Oshkosh: The Best Airventure Photography,0.25,2.5,17/12/2020,A
9780752441368,12,Edmund Gosse - A Literary Landscape,0.25,3,17/12/2020,A
9780745327846,18,European Union & Turkish Accession,0.25,4.5,17/12/2020,A
9781848509450,8,Everything I've Ever Learned About Change,0.25,2,17/12/2020,A
9781847672933,56,"For Richer, For Poorer",0.25,14,17/12/2020,A
9780752449968,24,"German Schoolboy, British Commando",0.25,6,17/12/2020,A
9781905156849,10,Henry Cecil: Trainer Of Genius,0.25,2.5,17/12/2020,A
9781905736324,46,High Tea In Mosul,0.25,11.5,17/12/2020,A
9781906502157,10,Hornchurch Offensive,0.25,2.5,17/12/2020,A
9781848505919,12,How I Said Bah! To Cancer,0.25,3,17/12/2020,A
9781910498699,10,Hurricane Fly: The Ultimate Hurdler,0.25,2.5,17/12/2020,A
9781446303375,10,I Love Cross Stitch: Alphabet Collection,0.25,2.5,17/12/2020,A
9780224075091,10,Jacobs Beach,0.25,2.5,17/12/2020,A
9780713684865,20,Jiu Jitsu For All - Brown Belt to Black Belt,0.25,5,17/12/2020,A
9781445611464,10,Kilmarnock Fact Book (Scotland),0.25,2.5,17/12/2020,A
9781408114131,10,Know The Game - Pool,0.25,2.5,17/12/2020,A
9780091900304,16,Law Of The Playground,0.25,4,17/12/2020,A
9780752452524,10,Letters From An Airfield (Suffolk),0.25,2.5,17/12/2020,A
9780753513521,10,Made In Brighton,0.25,2.5,17/12/2020,A
9781782197584,10,Making God Laugh,0.25,2.5,17/12/2020,A
9781848501430,10,Man Who Drove With His Eyes Closed (uk & europe only),0.25,2.5,17/12/2020,A
9781849544627,10,Meat Fix,0.25,2.5,17/12/2020,A
9781841952079,10,Misadventures,0.25,2.5,17/12/2020,A
9780099538035,10,Narcomania - How Britain Got Hooked On Drugs,0.25,2.5,17/12/2020,A
9781857703405,10,Natural Kent,0.25,2.5,17/12/2020,A
9781783520374,10,No.9 Bus To Utopia,0.25,2.5,17/12/2020,A
9781787130326,20,Of Cats & Men: Profiles of History's Great Cat-Loving Arrtists etc.,0.25,5,17/12/2020,A
9781780910048,20,On The Run Around Manchester,0.25,5,17/12/2020,A
9780747565581,10,Pain: the Science & Culture of Why We Hurt,0.25,2.5,17/12/2020,A
9781401915643,10,"Past, Present & Future",0.25,2.5,17/12/2020,A
9780753512104,46,Peter Alliss' Golf Heroes,0.25,11.5,17/12/2020,A
9780571196968,10,Planet Of The Blind,0.25,2.5,17/12/2020,A
9780713688092,16,Practical Printmaking,0.25,4,17/12/2020,A
9780091941833,10,Princess Matilda Comes Home,0.25,2.5,17/12/2020,A
9781401910907,10,Psychic Healing (uk & europe only),0.25,2.5,17/12/2020,A
9780863565281,10,"Raw Memory - Prijedor, Laboratory of Ethnic Cleansing",0.25,2.5,17/12/2020,A
9781846040436,12,Realm Beyond,0.25,3,17/12/2020,A
9781905367597,10,Recognise Yourself: Beauty Despite Cancer,0.25,2.5,17/12/2020,A
9780747596035,10,Red Azalea,0.25,2.5,17/12/2020,A
9780571251674,12,Red Tory,0.25,3,17/12/2020,A
9781844548941,10,Richard Dunwoody: Horses Of My Life (Ireland),0.25,2.5,17/12/2020,A
9780745329277,10,Ricin! The Inside Story Of The Terror Plot That Never Was,0.25,2.5,17/12/2020,A
9780711224094,10,Rock Climbing In Scotland,0.25,2.5,17/12/2020,A
9781906850692,10,Rock'n'Roll Soccer: The Short Life & Fast Times of the N.American Soccer,0.25,2.5,17/12/2020,A
9780571190621,12,Secret Muses - The Life Of Frederick Ashton,0.25,3,17/12/2020,A
9780099533597,10,Smoking Ears & Screaming Teeth,0.25,2.5,17/12/2020,A
9780750963985,10,Springer Spaniels,0.25,2.5,17/12/2020,A
9781907532245,10,Steamy Sex,0.25,2.5,17/12/2020,A
9780091954994,16,Stop Overeating,0.25,4,17/12/2020,A
9781845433765,24,Surfing Handbook,0.25,6,17/12/2020,A
9781845029890,10,Tales From The Dugout: Football at the Sharp End,0.25,2.5,17/12/2020,A
9781783521043,10,Ta-Ra-Ra Boom De-Ay: The Dodgy Business of Popular Music,0.25,2.5,17/12/2020,A
9781472901804,10,Team Handball 101,0.25,2.5,17/12/2020,A
9780099440734,10,The Book of Colour,0.25,2.5,17/12/2020,A
9780571234790,10,Trickster Travels,0.25,2.5,17/12/2020,A
9780753821480,10,Voyageur,0.25,2.5,17/12/2020,A
9781907637094,10,We're The Famous Man Utd: Old Trafford In The 80s- The Players's Stories,0.25,2.5,17/12/2020,A
9781908041326,10,Why Willows Weep: Contemporary Tales From The Woods,0.25,2.5,17/12/2020,A
9780720611052,10,Window In The Corner - a Half-Century of Children's TV,0.25,2.5,17/12/2020,A
9781788885225,5,Artists' Materials: The Complete Sourcebook of Methods & Media,2.5,12.5,04/01/2021,A
9781789500066,5,Battle Of The Bulge: Hitler's Final Gamble In Western Europe,2,10,04/01/2021,A
9789887774648,5,Camo Mania: New Disruptive Patterns In Design,4,20,04/01/2021,A
9781785905209,10,Critical Times,2.5,25,04/01/2021,A
9781445686561,5,Defeat Of The Luftwaffe,2,10,04/01/2021,A
9781445675602,5,Der Kapitan: U-Boat Ace Hans Rose,4,20,04/01/2021,A
9781788284806,5,Drawing Figures: A Practical Course For Artists,2,10,04/01/2021,A
9781445664927,12,Dundee In 50 Buildings,3,36,04/01/2021,A
9781784287597,5,Felt Decorations,1.75,8.75,04/01/2021,A
9781788883948,5,Get Creative,2,10,04/01/2021,A
9781788280853,5,Ghost Army: Conning The Third Reich,2,10,04/01/2021,A
9781849393843,5,Great Sheep Shenanigans,1.25,6.25,04/01/2021,A
9781783447329,5,Hampstead The Hamster,1,5,04/01/2021,A
9781445676067,5,Historic England: Bath,3,15,04/01/2021,A
9781785900624,5,How To Be A Government Whip,2,10,04/01/2021,A
9781785902192,10,How To Be A Police Officer,2,20,04/01/2021,A
9781784046576,10,Inspiring Zentangle Projects,1.5,15,04/01/2021,A
9781789509649,5,Life Under Nazi Occupation: The Struggle to Survive During WWII,1.75,8.75,04/01/2021,A
9781842709481,5,Millie's Marvellous Hat,1.25,6.25,04/01/2021,A
9781848684584,5,Norwich Through Time,3,15,04/01/2021,A
9781445664064,5,Portsmouth In 50 Buildings,3,15,04/01/2021,A
9781783444199,5,Prince & The Porker,1.25,6.25,04/01/2021,A
9781785901270,5,Provocations: The New Philistines,1.5,7.5,04/01/2021,A
9781445690285,7,"Real Vampires: Death, Terror & The Supernatural",3.5,24.5,04/01/2021,A
9781783445394,5,Red Riding Hood,1.25,6.25,04/01/2021,A
9781842709016,5,Snow Queen,1.5,7.5,04/01/2021,A
9781783440788,5,Spring Rabbit,1.25,6.25,04/01/2021,A
9781848585409,5,Street Art From Around The World,2,10,04/01/2021,A
9781842700839,5,War & Peas,1,5,04/01/2021,A
9781783445455,5,World's Laziest Duck & Other Amazing Records,1.25,6.25,04/01/2021,A
9781785905209,18,Critical Times,2.5,45,21/01/2021,A
9781683690863,38,We Sold Our Souls,1.5,57,21/01/2021,A
9781787132535,24,First Knits: 20 Irresistible Knits For Babies,3,72,29/01/2021,A
9781842709016,30,Snow Queen,1.5,45,29/01/2021,A
9781848585409,14,Street Art From Around The World,2,28,29/01/2021,A
9780571250592,10,Afterglow Of Creation,0.25,2.5,04/02/2021,A
9781844009824,60,Classic Voices In Food - The Gentle Art Of Cookery,0.25,15,04/02/2021,A
9780091885786,20,Clubland Confidential,0.25,5,04/02/2021,A
9781905745166,20,Confessions of a Showman,0.25,5,04/02/2021,A
9780571244546,24,Dark Spectre,0.25,6,04/02/2021,A
9780826431394,20,De-Cluttered School,0.25,5,04/02/2021,A
9780091953638,24,Ex-Patriots,0.25,6,04/02/2021,A
9781847672933,56,"For Richer, For Poorer",0.25,14,04/02/2021,A
9780861661848,60,From Hell Companion,0.25,15,04/02/2021,A
9780753522363,10,Future Babble,0.25,2.5,04/02/2021,A
9781781311622,10,Greasepaint & Cordite,0.25,2.5,04/02/2021,A
9780750928045,24,Greatest Storm: Britain's Night Of Destruction November,0.25,6,04/02/2021,A
9781905156849,10,Henry Cecil: Trainer Of Genius,0.25,2.5,04/02/2021,A
9781910498699,20,Hurricane Fly: The Ultimate Hurdler,0.25,5,04/02/2021,A
9780352341969,10,Indecent Pursuit,0.25,2.5,04/02/2021,A
9781847390059,10,Life On Mars - The Official Companion,0.25,2.5,04/02/2021,A
9780276444012,10,Looking Back At Britain - 1970s: Flower Power To Union Power,0.25,2.5,04/02/2021,A
9780745332765,20,Making & Unmaking Of A Zionist: A Personal & Political Journey,0.25,5,04/02/2021,A
9781907637575,18,Moz: My Story (Leeds/Warrington/Bradford),0.25,4.5,04/02/2021,A
9780593065778,20,No Expenses Spared,0.25,5,04/02/2021,A
9780224098304,20,Other People's Countries: A Journey Into Memory,0.25,5,04/02/2021,A
9781785310799,10,Penalty King (Rangers),0.25,2.5,04/02/2021,A
9781849548144,12,Pitch Black: The Story of Black British Footballers,0.25,3,04/02/2021,A
9781848502406,10,Positive Drinking,0.25,2.5,04/02/2021,A
9780713688092,16,Practical Printmaking,0.25,4,04/02/2021,A
9780091941833,10,Princess Matilda Comes Home,0.25,2.5,04/02/2021,A
9781785312120,26,Real Roy Of The Rovers Stuff,0.25,6.5,04/02/2021,A
9780747596035,10,Red Azalea,0.25,2.5,04/02/2021,A
9781907637513,16,Riis - Stages Of Light & Dark,0.25,4,04/02/2021,A
9780752421698,10,Roger Freestone - Another Day At The Office (Newport / Chelsea / Swansea / Hereford),0.25,2.5,04/02/2021,A
9780752465623,16,Sailors In The Dock,0.25,4,04/02/2021,A
9781901250541,9,Science of Love,0.25,2.25,04/02/2021,A
9781781801789,20,Secret Female Hormone: How Testosterone Replacement Can Change Your Life,0.25,5,04/02/2021,A
9780571290321,24,Secrets Of The Conqueror,0.25,6,04/02/2021,A
9780224101684,25,Stairwell,0.25,6.25,04/02/2021,A
9781848093249,5,Sworn Sword,0.25,1.25,04/02/2021,A
9781909653146,48,Theory & Practice Of Gamesmanship,0.25,12,04/02/2021,A
9781911445203,20,Tinfish Run,0.25,5,04/02/2021,A
9780752447513,16,Tom Cribb - The Life of the Black Diamond,0.25,4,04/02/2021,A
9780571234790,10,Trickster Travels,0.25,2.5,04/02/2021,A
9780571272198,30,TV Go Home,0.25,7.5,04/02/2021,A
9781847960368,24,Ugly: The Aesthetics of Everything,0.25,6,04/02/2021,A
9780352347268,20,Undone,0.25,5,04/02/2021,A
9780861661824,17,Unearthing,0.25,4.25,04/02/2021,A
9780571251285,69,Unwinding: An Inner History of the New America,0.25,17.25,04/02/2021,A
9781861540508,24,Urgent Images - The Graphic Language Of The Fax,0.25,6,04/02/2021,A
9780752437507,20,Wembley Speedway - The Pre-War Years (London),0.25,5,04/02/2021,A
9780571239795,20,Woman Who Shot Mussolini,0.25,5,04/02/2021,A
9781849547130,48,Xavier: A British Secret Agent With The French Resistance,0.25,12,04/02/2021,A
9781842709481,70,Millie's Marvellous Hat,1.25,87.5,09/02/2021,A
9781783445394,36,Red Riding Hood,1.25,45,09/02/2021,A
9781787132535,48,First Knits: 20 Irresistible Knits For Babies,3,144,19/02/2021,A
9780099477471,20,1 Out Of 10,0.25,5,19/02/2021,A
9780091778378,40,35MM Handbook,0.25,10,19/02/2021,A
9781842433201,56,Asian Horror,0.25,14,19/02/2021,A
9781785310461,20,Building The Dynasty: Manchester United 1946-1958,0.25,5,19/02/2021,A
9780571278527,16,Death Of A Polaroid - A Manics Family Album,0.25,4,19/02/2021,A
9781909471580,20,Focused: My Life In Pictures,0.25,5,19/02/2021,A
9781847672933,56,"For Richer, For Poorer",0.25,14,19/02/2021,A
9780752449043,30,Glamour In The Skies: The Golden Age of the Air Stewardess,0.25,7.5,19/02/2021,A
9780352345264,20,Going Too Far,0.25,5,19/02/2021,A
9780752843803,20,Guardian Columns 1998-2000,0.25,5,19/02/2021,A
9781906502157,20,Hornchurch Offensive,0.25,5,19/02/2021,A
9780224075107,28,Jacobs Beach,0.25,7,19/02/2021,A
9780752455129,24,James Fitzjames - The Mystery Man Of The Franklin Expedition,0.25,6,19/02/2021,A
9780713684865,20,Jiu Jitsu For All - Brown Belt to Black Belt,0.25,5,19/02/2021,A
9780091900304,3,Law Of The Playground,0.25,0.75,19/02/2021,A
9781847390059,10,Life On Mars - The Official Companion,0.25,2.5,19/02/2021,A
9780099502999,20,Love Against All Odds,0.25,5,19/02/2021,A
9780099538035,24,Narcomania - How Britain Got Hooked On Drugs,0.25,6,19/02/2021,A
9781787130326,60,Of Cats & Men: Profiles of History's Great Cat-Loving Arrtists etc.,0.25,15,19/02/2021,A
9781445638614,20,Oldham Athletic: A Pictorial History,0.25,5,19/02/2021,A
9781504800129,20,Professional Results: Soft Furnishings,0.25,5,19/02/2021,A
9781849161732,40,Prometheans,0.25,10,19/02/2021,A
9780099513650,10,Pursuit,0.25,2.5,19/02/2021,A
9781846040436,12,Realm Beyond,0.25,3,19/02/2021,A
9780747596035,40,Red Azalea,0.25,10,19/02/2021,A
9781848502567,20,Right Time Baby,0.25,5,19/02/2021,A
9780857331786,10,Rivals: Newcastle United Vs Sunderland (Classic Tyne & Wear Derby Games),0.25,2.5,19/02/2021,A
9780099598664,20,Roy Of The Rovers: The Official Autobiography,0.25,5,19/02/2021,A
9781906509293,24,Sarah Raphael,0.25,6,19/02/2021,A
9781847941329,20,Second Curve: Thoughts On Reinventing Society,0.25,5,19/02/2021,A
9780571190621,24,Secret Muses - The Life Of Frederick Ashton,0.25,6,19/02/2021,A
9781848500181,20,Secret Pleasures Of Menopause (uk & europe only),0.25,5,19/02/2021,A
9780752449845,20,Soldiers Of The Queen,0.25,5,19/02/2021,A
9780750963985,60,Springer Spaniels,0.25,15,19/02/2021,A
9781845136628,16,Standing My Ground,0.25,4,19/02/2021,A
9781408131343,20,Stitching Pictures,0.25,5,19/02/2021,A
9780980274288,20,Story Of The Fly And How It Could Save The World,0.25,5,19/02/2021,A
9781472901804,26,Team Handball 101,0.25,6.5,19/02/2021,A
9780099440734,20,The Book of Colour,0.25,5,19/02/2021,A
9781787130982,20,Tiny Histories: Trivial Events & Trifling Decisions That Changed British History,0.25,5,19/02/2021,A
9780224083256,20,Twirlymen,0.25,5,19/02/2021,A
9781907637094,40,We're The Famous Man Utd: Old Trafford In The 80s- The Players's Stories (Manchester),0.25,10,19/02/2021,A
9781908041326,20,Why Willows Weep: Contemporary Tales From The Woods,0.25,5,19/02/2021,A
9781789500066,20,Battle Of The Bulge: Hitler's Final Gamble In Western Europe,2,40,04/03/2021,A
9781787132535,24,First Knits: 20 Irresistible Knits For Babies,3,72,04/03/2021,A
9781788280853,20,Ghost Army: Conning The Third Reich,2,40,04/03/2021,A
9781785902192,16,How To Be A Police Officer,2,32,04/03/2021,A
9781848585409,28,Street Art From Around The World,2,56,04/03/2021,A
9781910500873,18,Disputed Earth: Geology & Trench Warfare on the Western Front 1914-18,3,54,04/03/2021,A
9781783447329,20,Hampstead The Hamster,1,20,04/03/2021,A
9781784046576,20,Inspiring Zentangle Projects,1.5,30,04/03/2021,A
9781787132535,96,First Knits: 20 Irresistible Knits For Babies,3,288,18/03/2021,A
9781848585409,28,Street Art From Around The World,2,56,18/03/2021,A
9781787132535,48,First Knits: 20 Irresistible Knits For Babies,3,144,24/03/2021,A
9781785658631,30,Vengeful,1.5,45,24/03/2021,A
9780007183166,44,Democracy Needs Aristocracy,0.25,11,31/03/2021,A
9780552778008,51,Don't Sweat The Aubergine,0.25,12.75,31/03/2021,A
9780224092357,36,Federer & Me: A Story Of Obsession,0.25,9,31/03/2021,A
9780861661848,60,From Hell Companion,0.25,15,31/03/2021,A
9780091912406,30,Girl With A One Track Mind,0.25,7.5,31/03/2021,A
9780752455129,48,James Fitzjames - The Mystery Man Of The Franklin Expedition,0.25,12,31/03/2021,A
9781847390059,40,Life On Mars - The Official Companion,0.25,10,31/03/2021,A
9781907637575,36,Moz: My Story (Leeds/Warrington/Bradford),0.25,9,31/03/2021,A
9780099538035,96,Narcomania - How Britain Got Hooked On Drugs,0.25,24,31/03/2021,A
9781849548144,71,Pitch Black: The Story of Black British Footballers,0.25,17.75,31/03/2021,A
9781785312120,52,Real Roy Of The Rovers Stuff,0.25,13,31/03/2021,A
9780571251674,46,Red Tory,0.25,11.5,31/03/2021,A
9780571290321,48,Secrets Of The Conqueror,0.25,12,31/03/2021,A
9781785310119,74,Sex & Drugs & Rebel Tours: The England Cricket Team in the 80s,0.25,18.5,31/03/2021,A
9780571272198,120,TV Go Home,0.25,30,31/03/2021,A
9781847960368,48,Ugly: The Aesthetics of Everything,0.25,12,31/03/2021,A
9780753821480,25,Voyageur,0.25,6.25,31/03/2021,A
9781787132535,24,First Knits: 20 Irresistible Knits For Babies,3,72,01/04/2021,A
9781445676067,10,Historic England: Bath,3,30,01/04/2021,A
9781785902192,16,How To Be A Police Officer,2,32,01/04/2021,A
9780571290017,20,Madame Zero,1.5,30,01/04/2021,A
9781848585409,28,Street Art From Around The World,2,56,01/04/2021,A
9781785658631,25,Vengeful,1.5,37.5,01/04/2021,A
9781789500066,20,Battle Of The Bulge: Hitler's Final Gamble In Western Europe,2,40,14/04/2021,A
9781787132535,96,First Knits: 20 Irresistible Knits For Babies,3,288,14/04/2021,A
9781785901270,20,Provocations: The New Philistines,1.5,30,14/04/2021,A
9781842709016,60,Snow Queen,1.5,90,14/04/2021,A
9780571250592,22,Afterglow Of Creation,0.25,5.5,23/04/2021,A
9781781801031,28,Daily Love: Growing Into Grace,0.25,7,23/04/2021,A
9780224092357,18,Federer & Me: A Story Of Obsession,0.25,4.5,23/04/2021,A
9781847672933,224,"For Richer, For Poorer",0.25,56,23/04/2021,A
9781905156849,10,Henry Cecil: Trainer Of Genius,0.25,2.5,23/04/2021,A
9781906502157,20,Hornchurch Offensive,0.25,5,23/04/2021,A
9780752455129,74,James Fitzjames - The Mystery Man Of The Franklin Expedition,0.25,18.5,23/04/2021,A
9781849543750,10,Odd Couple: The Curious Friendship Between Kingsley Amis & Philip,0.25,2.5,23/04/2021,A
